config,h_label,h_frac_of_hmax,h_abs,allocator,conv_pct,mean_err_deg,median_err_deg,p95_err_deg,gyro_shortfall_proxy
3+1,h0_0.0xh,0.0000,0.0000,LP,15.0000,47.8776,49.2643,103.6565,0.8319
3+1,h0_0.0xh,0.0000,0.0000,QP,33.0000,38.3653,18.7996,109.4952,0.6986
3+1,h0_0.0xh,0.0000,0.0000,cQP,34.0000,37.2889,18.7656,101.6823,0.6927
3+1,h0_0.0xh,0.0000,0.0000,LP2,11.0000,55.8076,56.7708,113.4090,0.8571
3+1,h0_0.3xh,0.3000,0.0049,LP,16.0000,13.3835,12.3490,26.0243,0.8641
3+1,h0_0.3xh,0.3000,0.0049,QP,3.0000,28.4115,30.5704,48.1265,0.8053
3+1,h0_0.3xh,0.3000,0.0049,cQP,4.0000,27.9216,30.6895,48.5697,0.7944
3+1,h0_0.3xh,0.3000,0.0049,LP2,3.0000,25.3319,25.3948,48.2772,0.8846
3+1,h0_0.6xh,0.6000,0.0097,LP,9.0000,13.1436,11.8614,25.4092,0.8768
3+1,h0_0.6xh,0.6000,0.0097,QP,3.0000,20.5035,19.9755,35.9254,0.7755
3+1,h0_0.6xh,0.6000,0.0097,cQP,5.0000,20.3955,20.1492,35.9455,0.7708
3+1,h0_0.6xh,0.6000,0.0097,LP2,3.0000,18.4730,16.7666,32.8730,0.8786
3+1,h0_0.9xh,0.9000,0.0146,LP,7.0000,13.2757,12.2860,25.0972,0.8695
3+1,h0_0.9xh,0.9000,0.0146,QP,1.0000,17.5239,16.8913,30.4147,0.7507
3+1,h0_0.9xh,0.9000,0.0146,cQP,1.0000,17.6568,17.0118,30.3477,0.7486
3+1,h0_0.9xh,0.9000,0.0146,LP2,6.0000,16.5696,16.3863,29.6355,0.8685
3+3,h0_0.0xh,0.0000,0.0000,LP,100.0000,0.0000,0.0000,0.0000,0.0000
3+3,h0_0.0xh,0.0000,0.0000,QP,100.0000,0.0000,0.0000,0.0000,0.0000
3+3,h0_0.0xh,0.0000,0.0000,cQP,100.0000,0.0000,0.0000,0.0000,0.0000
3+3,h0_0.0xh,0.0000,0.0000,LP2,100.0000,0.0000,0.0000,0.0000,0.0229
3+3,h0_0.3xh,0.3000,0.0049,LP,100.0000,0.0000,0.0000,0.0000,0.0000
3+3,h0_0.3xh,0.3000,0.0049,QP,100.0000,0.0000,0.0000,0.0000,0.0000
3+3,h0_0.3xh,0.3000,0.0049,cQP,100.0000,0.0000,0.0000,0.0000,0.0000
3+3,h0_0.3xh,0.3000,0.0049,LP2,100.0000,0.0000,0.0000,0.0000,0.0705
3+3,h0_0.6xh,0.6000,0.0097,LP,100.0000,0.0008,0.0000,0.0002,0.0000
3+3,h0_0.6xh,0.6000,0.0097,QP,100.0000,0.0011,0.0000,0.0002,0.0000
3+3,h0_0.6xh,0.6000,0.0097,cQP,100.0000,0.0011,0.0000,0.0002,0.0000
3+3,h0_0.6xh,0.6000,0.0097,LP2,100.0000,0.0008,0.0000,0.0002,0.0202
3+3,h0_0.9xh,0.9000,0.0146,LP,28.0000,28.2088,28.1732,64.5909,0.0059
3+3,h0_0.9xh,0.9000,0.0146,QP,28.0000,29.9411,30.4046,63.2064,0.0055
3+3,h0_0.9xh,0.9000,0.0146,cQP,28.0000,29.7933,30.3453,63.2064,0.0055
3+3,h0_0.9xh,0.9000,0.0146,LP2,28.0000,32.8438,36.6567,73.4929,0.0062
