name  final  standing  jolt  conv1_5400  h_peak  n_plans  n_fb  kills  solve_med  solve_max
base_cold  4.144  5.380  -0.564  4.569  0.193  12  0  0  10.521  18.011
base_warmhold  4.149  5.385  -0.564  4.573  0.193  12  0  0  2.271  19.895
base_warmzero  4.149  5.385  -0.564  4.573  0.193  12  0  0  2.187  20.074
base_cold_bdot  4.144  5.381  -0.564  4.569  0.193  12  0  0  9.424  18.540
a1e2_cold  2.269  1.712  -0.529  2.428  0.278  12  0  0  5.679  22.276
a1e2_warmhold  2.269  1.712  -0.528  2.428  0.278  12  0  0  2.180  22.455
a1e3_cold  1.151  1.183  -0.045  1.240  0.426  12  0  0  7.361  22.709
a1e3_warmhold  1.151  1.183  -0.045  1.240  0.426  12  0  0  6.642  22.206
termN1e3_cold  4.166  4.704  -0.559  4.567  0.197  12  0  0  9.732  15.270
termN1e3_warmhold  4.165  4.702  -0.558  4.566  0.197  12  0  0  7.130  11.570
a1e2N1e4_warmhold  2.245  1.691  -0.531  2.408  0.278  12  0  0  2.591  23.145
a1e2_av1e4_warmhold  2.312  1.775  -0.510  2.369  0.278  12  0  0  1.333  24.236
