name  final  standing  jolt  conv1_5400  h_peak  n_plans  n_fb  kills  solve_med  solve_max
base_cold  2.907  0.898  0.350  1.476  0.149  12  0  0  7.493  31.215
base_warmhold  2.881  0.891  0.325  1.459  0.149  12  0  0  10.367  22.911
base_warmzero  2.881  0.891  0.325  1.459  0.149  12  0  0  10.271  25.158
base_cold_bdot  2.883  0.889  0.348  1.463  0.149  12  0  0  8.947  35.084
a1e2_cold  1.752  1.006  -0.009  1.629  0.181  12  0  0  14.589  45.628
a1e2_warmhold  0.999  0.992  -0.023  1.102  0.181  12  0  0  16.294  45.181
a1e3_cold  1.755  1.249  -0.294  1.308  0.296  12  0  0  33.611  71.502
a1e3_warmhold  1.908  0.904  -0.027  1.225  0.265  12  0  0  43.163  65.938
termN1e3_cold  3.223  0.843  0.375  1.591  0.149  12  0  0  15.760  28.046
termN1e3_warmhold  3.022  0.934  0.397  1.506  0.149  12  0  0  18.370  41.390
a1e2N1e4_warmhold  0.582  1.104  0.227  0.548  0.180  12  0  0  23.197  55.210
a1e2_av1e4_warmhold  2.561  1.352  -0.006  1.486  0.267  12  0  0  8.581  19.817
