run_id,geometric_visibility_s,usable_connection_s
1,680.0,588.0
2,680.0,600.0
3,680.0,580.0
4,680.0,600.0
5,680.0,436.0
6,680.0,680.0
7,680.0,670.0
8,680.0,626.0
9,680.0,520.0
10,680.0,616.0
11,680.0,680.0
12,680.0,670.0
13,680.0,680.0
14,680.0,592.0
15,680.0,680.0
16,680.0,616.0
17,680.0,598.0
18,680.0,680.0
19,680.0,586.0
20,680.0,574.0
21,680.0,54.0
22,680.0,678.0
23,680.0,674.0
24,680.0,590.0
25,680.0,632.0
26,680.0,510.0
27,680.0,576.0
28,680.0,422.0
29,680.0,630.0
30,680.0,220.0
31,680.0,644.0
32,680.0,474.0
33,680.0,622.0
34,680.0,610.0
35,680.0,618.0
36,680.0,58.0
37,680.0,564.0
38,680.0,612.0
39,680.0,520.0
40,680.0,660.0
41,680.0,680.0
42,680.0,586.0
43,680.0,664.0
44,680.0,542.0
45,680.0,636.0
46,680.0,444.0
47,680.0,664.0
48,680.0,680.0
49,680.0,600.0
50,680.0,634.0
51,680.0,124.0
52,680.0,680.0
53,680.0,604.0
54,680.0,670.0
55,680.0,622.0
56,680.0,624.0
57,680.0,608.0
58,680.0,602.0
59,680.0,666.0
60,680.0,512.0
61,680.0,544.0
62,680.0,680.0
63,680.0,580.0
64,680.0,636.0
65,680.0,664.0
66,680.0,680.0
67,680.0,680.0
68,680.0,676.0
69,680.0,528.0
70,680.0,680.0
71,680.0,584.0
72,680.0,604.0
73,680.0,602.0
74,680.0,680.0
75,680.0,652.0
76,680.0,546.0
77,680.0,654.0
78,680.0,424.0
79,680.0,578.0
80,680.0,412.0
81,680.0,606.0
82,680.0,592.0
83,680.0,572.0
84,680.0,642.0
85,680.0,610.0
86,680.0,626.0
87,680.0,560.0
88,680.0,594.0
89,680.0,548.0
90,680.0,680.0
91,680.0,626.0
92,680.0,636.0
93,680.0,600.0
94,680.0,82.0
95,680.0,76.0
96,680.0,598.0
97,680.0,632.0
98,680.0,654.0
99,680.0,508.0
100,680.0,78.0
